Kode;Komponen;Satuan;Harga_Dasar;Kategori
;Kabel Tray (Horizontal) 300 x 100 mm TRC OCP dan aksesoris;Unit ;380000;Material
;Kabel Tray (Horizontal) 200 x 100 mm TRU Hot Dip Galvanized dan aksesoris;Unit;400000;Material
;Kabel Tray (Horizontal) 200 x 100 mm TRU OCP dan aksesoris;Unit ;250000;Material
;Kabel Tray (Horizontal) 200 x 100 mm TRC Powder Coating dan aksesoris;Unit;270000;Material
;Kabel Tray (Horizontal) 200 x 100 mm TRC Hot Dip Galvanized dan aksesoris;Unit ;280000;Material
;Kabel Tray (Horizontal) 200 x 100 mm TRC OCP dan aksesoris;Unit;300000;Material
;Kabel Tray (Horizontal) 150 x 100 mm TRU Powder Coating dan aksesoris;Unit ;250000;Material
;Kabel Tray (Horizontal) 150 x 100 mm TRU Hot Dip Galvanized dan aksesoris;Unit;260000;Material
;Kabel Tray (Horizontal) 150 x 100 mm TRU OCP dan aksesoris;Unit ;280000;Material
;Kabel Tray (Horizontal) 150 x 100 mm TRC Powder Coating dan aksesoris;Unit;300000;Material
;Kabel Tray (Horizontal) 150 x 100 mm TRC Hot Dip Galvanized dan aksesoris;Unit ;320000;Material
;Kabel Tray (Horizontal) 150 x 100 mm TRC OCP dan aksesoris;Unit;350000;Material
;Kabel Tray (Vertikal) 1000 x 100 mm TRU Powder Coating dan aksesoris;Unit ;350000;Material
;Kabel Tray (Vertikal) 1000 x 100 mm TRU Hot Dip Galvanized dan aksesoris;Unit;370000;Material
;Kabel Tray (Vertikal) 1000 x 100 mm TRU OCP dan aksesoris;Unit ;390000;Material
;Kabel Tray (Vertikal) 1000 x 100 mm TRC Powder Coating dan aksesoris;Unit;400000;Material
;Kabel Tray (Vertikal) 1000 x 100 mm TRC Hot Dip Galvanized dan aksesoris;Unit ;410000;Material
;Kabel Tray (Vertikal) 1000 x 100 mm TRC OCP dan aksesoris;Unit;420000;Material
;Kabel Tray (Vertikal) 900 x 100 mm TRU Powder Coating dan aksesoris;Unit;340000;Material
;Kabel Tray (Vertikal) 900 x 100 mm TRU Hot Dip Galvanized dan aksesoris;Unit ;350000;Material
;Kabel Tray (Vertikal) 900 x 100 mm TRU OCP dan aksesoris;Unit;360000;Material
;Kabel Tray (Vertikal) 900 x 100 mm TRC Powder Coating dan aksesoris;Unit;370000;Material
;Kabel Tray (Vertikal) 900 x 100 mm TRC Hot Dip Galvanized dan aksesoris;Unit ;380000;Material
;Kabel Tray (Vertikal) 900 x 100 mm TRC OCP dan aksesoris;Unit;390000;Material
;Kabel Tray (Vertikal) 800 x 100 mm TRU Powder Coating dan aksesoris;Unit;350000;Material
;Kabel Tray (Vertikal) 800 x 100 mm TRU Hot Dip Galvanized dan aksesoris;Unit ;360000;Material
;Kabel Tray (Vertikal) 800 x 100 mm TRU OCP dan aksesoris;Unit;370000;Material
;Kabel Tray (Vertikal) 800 x 100 mm TRC Powder Coating dan aksesoris;Unit;380000;Material
;Kabel Tray (Vertikal) 800 x 100 mm TRC Hot Dip Galvanized dan aksesoris;Unit ;390000;Material
;Kabel Tray (Vertikal) 800 x 100 mm TRC OCP dan aksesoris;Unit;400000;Material
;Kabel Tray (Vertikal) 700 x 100 mm TRU Powder Coating dan aksesoris;Unit;340000;Material
;Kabel Tray (Vertikal) 700 x 100 mm TRU Hot Dip Galvanized dan aksesoris;Unit ;350000;Material
;Kabel Tray (Vertikal) 700 x 100 mm TRU OCP dan aksesoris;Unit;360000;Material
;Kabel Tray (Vertikal) 700 x 100 mm TRC Powder Coating dan aksesoris;Unit;370000;Material
;Kabel Tray (Vertikal) 700 x 100 mm TRC Hot Dip Galvanized dan aksesoris;Unit ;380000;Material
;Kabel Tray (Vertikal) 700 x 100 mm TRC OCP dan aksesoris;Unit;390000;Material
;Kabel Tray (Vertikal) 600 x 100 mm TRU Hot Dip Galvanized dan aksesoris;Unit;340000;Material
;Kabel Tray (Vertikal) 600 x 100 mm TRU OCP dan aksesoris;Unit ;350000;Material
;"Kabel Tray (Vertikal)
600 x 100 mm TRC
Powder Coating dan
aksesoris";Unit ;360000;Material
;"Kabel Tray (Vertikal)
600 x 100 mm TRC
Hot Dip Galvanized
dan aksesoris";Unit;370000;Material
;"Kabel Tray (Vertikal)
600 x 100 mm TRC
OCP dan aksesoris";Unit ;390000;Material
;"Kabel Tray (Vertikal)
500 x 100 mm TRU
Hot Dip Galvanized
dan aksesoris";Unit;340000;Material
;"Kabel Tray (Vertikal)
500 x 100 mm TRU
OCP dan aksesoris";Unit ;350000;Material
;"Kabel Tray (Vertikal)
500 x 100 mm TRC
Powder Coating dan
aksesoris";Unit;360000;Material
;"Kabel Tray (Vertikal)
500 x 100 mm TRC
Hot Dip Galvanized
dan aksesoris";Unit ;370000;Material
;"Kabel Tray (Vertikal)
500 x 100 mm TRC
OCP dan aksesoris";Unit;380000;Material
;"Kabel Tray (Vertikal)
400 x 100 mm TRU
Hot Dip Galvanized
dan aksesoris";Unit ;340000;Material
;"Kabel Tray (Vertikal)
400 x 100 mm TRU
OCP dan aksesoris";Unit;350000;Material
;"Kabel Tray (Vertikal)
400 x 100 mm TRC
Powder Coating dan
aksesoris";Unit ;360000;Material
;"Kabel Tray (Vertikal)
400 x 100 mm TRC
Hot Dip Galvanized
dan aksesoris";Unit;370000;Material
;"Kabel Tray (Vertikal)
400 x 100 mm TRC
OCP dan aksesoris";Unit ;380000;Material
;"Kabel Tray (Vertikal)
300 x 100 mm TRU
Hot Dip Galvanized
dan aksesoris";Unit;340000;Material
;"Kabel Tray (Vertikal)
300 x 100 mm TRU
OCP dan aksesoris";Unit ;350000;Material
;"Kabel Tray (Vertikal)
300 x 100 mm TRC
Powder Coating dan
aksesoris";Unit;360000;Material
;"Kabel Tray (Vertikal)
300 x 100 mm TRC
Hot Dip Galvanized
dan aksesoris";Unit ;370000;Material
;"Kabel Tray (Vertikal)
300 x 100 mm TRC
OCP dan aksesoris";Unit;380000;Material
;"Kabel Tray (Vertikal)
200 x 100 mm TRU
Hot Dip Galvanized
dan aksesoris";Unit ;330000;Material
;"Kabel Tray (Vertikal)
200 x 100 mm TRU
OCP dan aksesoris";Unit;340000;Material
;"Kabel Tray (Vertikal)
200 x 100 mm TRC
Powder Coating dan
aksesoris";Unit ;350000;Material
;"Kabel Tray (Vertikal)
200 x 100 mm TRC
Hot Dip Galvanized
dan aksesoris";Unit;360000;Material
;"Kabel Tray (Vertikal)
200 x 100 mm TRC
OCP dan aksesoris";Unit ;370000;Material
;"Kabel Tray (Vertikal)
150 x 100 mm TRU
Powder Coating dan
aksesoris";Unit;330000;Material
;"Kabel Tray (Vertikal)
150 x 100 mm TRU
Hot Dip Galvanized
dan aksesoris";Unit ;340000;Material
;"Kabel Tray (Vertikal)
150 x 100 mm TRU
OCP dan aksesoris";Unit;350000;Material
;"Kabel Tray (Vertikal)
150 x 100 mm TRC
Powder Coating dan
aksesoris";Unit ;360000;Material
;"Kabel Tray (Vertikal)
150 x 100 mm TRC
Hot Dip Galvanized
dan aksesoris";Unit;370000;Material
;"Kabel Tray (Vertikal)
150 x 100 mm TRC
OCP dan aksesoris";Unit ;380000;Material
;Kabel tray 200 x 100 mm;m';175000;Material
;Kabel tray 300 x 100 mm;m';219000;Material
;Kabel tray 400 x 100 mm;m';265000;Material
;Kabel tray 500 x 100 mm;m';309000;Material
;Kabel tray 600 x 100 mm;m';352000;Material
;Klem kabel tray;buah;6000;Material
;Klem 20 mm;buah ;900;Material
;Mur baut kabel tray;buah;1000;Material
;PVC conduit HI 20 mm²;m';4100;Material
;Flexible Conduit 20 mm;m;5400;Material
;PVC conduit HI 32 mm²;m1;20000;Material
;Conduit HI 20 mm ;m;4000;Material
;Saklar Tunggal ;buah ;24000;Material
;Saklar Ganda ;Buah ;33000;Material
;Saklar Triple ;Buag ;76000;Material
;Grid Switch ;Buah ;108000;Material
;Grid Switch 4 x 2 Gang ;buah ;180000;Material
;Stop Kontak ;Buah ;70000;Material
;Stop Kontak AC;buah ;67900;Material
;T Dus ;buah ;4000;Material
;Socket Conduit 20 mm;buah ;700;Material
;Klem 20 mm ;buah ;298;Material
;Isolasi ;m;416;Material
;lasdop ;buah ;580;Material
;Elbow ;buah ;550;Material
;Fischer S6 + Sekrup ;buah ;21.5;Material
;kWh meter Token 1 Phase ;unit ;534000;Material
;kWh meter Token 3 Phase ;unit ;3150000;Material
;Software sistem kwh meter swakelola prabayar ;buah ;2000000;Material
;PC Server ;buah ;33900000;Material
;Panel Utama Tegangan Menengah;unit ;3100000;Material
;Panel Utama Tegangan Rendah;unit ;1500000;Material
;MDP Floor Standing;unit ;4500000;Material
;MDP Wall Mounted ;Unit ;4900000;Material
;SDP Floor Standing ;unit;3500000;Material
;SDP Wall  Mounted ;unit;3300000;Material
;Panel Lantai Wall Mounted 800x600x200;Unit ;3200000;Material
;Panel Lantai Wall Mounted 600x 400 x200;unit;3000000;Material
;Panel kWh Meter ;unit;2500000;Material
;Panel Penerang Luar Outdoor termasuk material batu ;Unit;3500000;Material
;Panel Kontrol Pompa;unit;5500000;Material
;Panel Power Gondola termasuk material bantu;unit ;5700000;Material
;Panel Power Elektronik termasuk material bantu;unit;3500000;Material
;Panel Power AHU termasuk material bantu ;unit ;4900000;Material
;Panel Power AC termasuk material bantu ;unit ;1700000;Material
;Panel Power Chiller termasuk material bantu ;unit ;2300000;Material
;Panel Kontrol Power Chiller termasuk material bantu;unit ;2500000;Material
;Panel Kontrol Power Cooling Tower termasuk material bantu ;unit ;1900000;Material
;Panel Kontrol Fan Presurisasi termasuk material bantu;unit ;2100000;Material
;MCB Box ;unit ;450000;Material
;Genset Kap : 75kVA Silent Type dan aksesoris ;unit;75000000;Material
;Genset Kap : 100 kVA Silent Type dan aksesoris ;unit ;79000000;Material
;Genset Kap : 400 kVA Silent Type dan aksesoris ;unit ;85000000;Material
;UPS 5 KVA ;unit ;18000000;Material
;Tangki Solar Harian 500 liter ;unit ;4000000;Material
;"Hand Pump Solar
dan aksesoris";Buah ;4000000;Material
;Trafo Kap : 630 Kva : Synthetic Oil Ester;unit;17000000;Material
;Downlight 5 Inch 14, 5 Watt LED + Aksesoris;buah ;82000;Material
;Lampu LED E27 10 watt + Aksesoris ;buah ;22000;Material
;Fitting E27 + Aksesoris ;buah ;5200;Material
;Nicad Battery ;buah;110000;Material
;Lampu LED E27 19 watt;buah ;70500;Material
;RM TKI 2 x 16 Watt LED;unit;265000;Material
;Lampu Sorot LED 100 Watt;unit ;125000;Material
;Lampu Sorot RGB 30 Watt untuk Outdoor ;unit ;34000;Material
;Pelindung Lampu ;unit ;18000;Material
;Lampu High Bay 100 Watt ;unit ;1620000;Material
;Lampu Eksit LED 3 Watt c/w Battery ;buah ;148000;Material
;Lampu TLED 1  x 14 Watt 2.100 Lumen ;buah;65000;Material
;Lampu TLED 1 x 24 Watt 2.100 Lumen;buah ;72000;Material
;Lampu TLED 2 x 24 Watt 2.100 Lumen;buah ;144000;Material
;Lampu PJU LED 50 Watt ;buah ;495000;Material
;Tiang PJU Kawasan 6-7 m;buah ;2000000;Material
;Lampu PJU LED 50 Watt + Solar Cell;buah ;700000;Material
;Lampu Taman 25 Watt +Tiang 1 m;buah ;155000;Material
;Fitting;buah ;16000;Material
;Lampu LED 7 Watt ;buah ;27000;Material
;Lampu LED 9 Watt ;buah ;34000;Material
;Lampu Baret 20 Watt;buah ;77000;Material
;Lampu Baret 32 Watt;;97000;Material
;Lampu Pijar 40 Watt ;;28000;Material
;Lampu TL 18 Watt ;;20000;Material
;Lampu TLED 18 Watt ;;30000;Material
;Lampu TL  36 Watt;;25000;Material
;Lampu TLED  36 Watt;;75000;Material
;Lampu Sport Floodlight Led ;buah ;375000;Material
;Brackket ;buah ;11500;Material
;Junction Box IP Rated ;buah ;142000;Material
;Kabel Fiber Optic Dual Core Single Mode ;m';11300;Material
;Pipa HDPE Conduit 20 mm;m';3800;Material
;DMX LED Controller 1 Universe;buah ;1400000;Material
;Sensor Cahaya ;buah ;58000;Material
;Sensor Gerak ;buah ;65900;Material
;MCP-FA (Semi Addressable 1 Loop);unit;26250000;Material
;Programming, Testing & commisioning;lot ;3500000;Material
;PC Komputer ;Unit ;3500000;Material
;Alarm Printer ;unit;2500000;Material
;Report Printer;unit;1900000;Material
;Announciator;unit;2100000;Material
;Terminal Box Fire Alarm ;unit ;265000;Material
;Smoke Detector Addressable ;Unit;780000;Material
;Rate of Rise Detector Addressable ;unit ;343000;Material
;Fix Heat Detector Addressable ;unit ;318000;Material
;Smoke Detector Konvensional ;unit ;245000;Material
;Rate of Rise Detector Konvensional;unit ;240000;Material
;Fix Heat Detector Konvensioanl;unit ;290000;Material
;Lamp Indicator ;unit ;57000;Material
;Manual Break Glass;unit ;60000;Material
;Horn Strobe;unit ;175000;Material
;Fire Fighting Telepon ;unit ;135000;Material
;Alarm Bell;unit ;85000;Material
;Sirine Module ;buah;650000;Material
;Control Module;Buah;350000;Material
;Relay Module;buah ;103500;Material
;Isolator Module ;buah ;220000;Material
;Monitor Module;buah;200000;Material
;Rectifier;unit;3500000;Material
;Power Surge Arrester;unit;1279000;Material
;UPS 2 KVA 15 Menit ;unit;3800000;Material
;UPS 2 KVA 30 Menit;unit;4100000;Material
;UPS 2 KVA 1 Jam;unit;4900000;Material
;UPS 2 KVA 2 Jam;unit;5200000;Material
;UPS 2 KVA 4 Jam;unit;5700000;Material
;End of Line Resistor ;unit;20000;Material
;Patch Panel UTP Cat 6 4 Port;unit;1540000;Material
;Wiring Management;;110000;Material
;PoE Switch HUB;;273000;Material
;Network  Video Recorder (NVR) Kapasitas 32 Chanel;;5500000;Material
;8 TB Hardisk ;;1960000;Material
;"Rak 19"" 12 U Lengkap dengan Power Outlet ";;770000;Material
;"LCD Monitor 32""";;2380000;Material
;"Bracket Monitor 32""";;88500;Material
;"LCD Monitor 50""";;3500000;Material
;"Bracket Monitor 50""";;150000;Material
;Keyboard + Mouse ;;350000;Material
;Indoor Fix Dome IP Camera ;;465000;Material
;Outdoor Fix Dome IP Camera ;;504000;Material
;MDF-SS;;1450000;Material
;Selector Switch c/w Control Panel;;850000;Material
;Power Amplifier 360 Watt;;1500000;Material
;Power Amplifier 240 Watt;;1200000;Material
;Power Amplifier 120 Watt;;1000000;Material
;System Controller (Mixer Pre Amp + Equalizer);;250000;Material
;VCD/DVD/MP3/Mp4;;250000;Material
;Automatic Alarm System;unit ;1000000;Material
;Paging Mic Keypad;;640000;Material
;UPS 1 KVA 4 Jam ;;2475000;Material
;Rack Cabinet;;670000;Material
;Terminal Box Tata Suara (TBTS);;75000;Material
;Ceiling Speaker;;680000;Material
;Wall Speaker;;650000;Material
;Horn Speaker;;250000;Material
;Tiang ;m';55500;Material
;MDF 2 x 8 Pair;Unit;125000;Material
;MDF 2 x 10 Pair;Unit;150000;Material
;Pemasangan 1 Unit PABX Kap: 1 Line 10 Extension ;Unit ;1000000;Material
;Pemasangan 1 Unit PABX Kap: 1 Line 8 Extension ;Unit ;870000;Material
;Terminal Box Telepon;;250000;Material
;Outlet Telepon;unit ;102000;Material
;Server / Gateway c/w PC, Monitor, Keyboard, Mouse;Unit ;6500000;Material
;Main Switch HUB 24 Port;unit;950000;Material
;Main Switch HUB 12 Port;unit;650000;Material
;Router Broadband;;550000;Material
;Fire Wall + Anti Virus;;250000;Material
;Outlet Data;;150000;Material
;Patch Cord;;30000;Material
;Patch Panel 24 Port;;500000;Material
;Wifi Access Point (Wifi 6 Radius 50 M);;1500000;Material
;Switch Hub 8 Port;;250000;Material
;Media Converter ;;110000;Material
;OTB ;;150000;Material
;"Touch Screen Panel 7""";;2300000;Material
;"Touch Screen Panel 10""";;2500000;Material
;"Touch Screen Panel 12""";;2900000;Material
;"Touch Screen Panel 14""";;3200000;Material
;Wall Mounted Rack 15U;;150000;Material
;Workstation, Meja+Kursi;;2550000;Material
;Connector ;;2550;Material
;Splitter TV 6 Port;;100000;Material
;Splitter TV 7 Port;;125000;Material
;Terminal Bocx TV;;250000;Material
;Antena UHF;;130000;Material
;Antena VHF;;150000;Material
;AC Wall Mounted Kap : 5.000 BTUH;;3200000;Material
;AC Wall Mounted Kap : 6.500 BTUH;;3800000;Material
;AC Wall Mounted Kap : 7.000 BTUH;;4200000;Material
;AC Wall Mounted Kap : 9.000 BTUH;;4500000;Material
;AC Wall Mounted Kap : 12.000 BTUH;;5300000;Material
;AC Wall Mounted Kap : 24.000 BTUH;;7600000;Material
;AC Wall Mounted Kap : 35.000 BTUH;;10000000;Material
;Ceiling Fan, 50 CFM;;900000;Material
;Ceiling Fan, 75 CFM;;1200000;Material
;Ceiling Fan, 100 CFM;;1350000;Material
;Ceiling Fan, 200 CFM;;1500000;Material
;Inline  Fan, 500 CFM;;1300000;Material
;Inline  Fan, 700 CFM;;1700000;Material
;"Axial Fan ; 2.600 CFM";;780000;Material
;"Axial Fan ; 2.800 CFM";;860000;Material
;"Axial Fan ; 3.200 CFM";;995000;Material
;"Axial Fan ; 3.500 CFM";;1020000;Material
;"Axial Fan ; 4.000 CFM";;1350000;Material
;"Axial Fan ; 5.500 CFM";;1700000;Material
;Rotary Fan;;750000;Material
;Ceiling Fan Rotary;;1500000;Material
;"Bifurcated Fan; 1.500 CFM";;8300000;Material
;Propeller Fan, 75 CFM;;1800000;Material
;Propeller Fan, 100 CFM;;2100000;Material
;Propeller Fan, 150 CFM;;2300000;Material
;Propeller Fan, 370 CFM;;250000;Material
;Propeller Fan, 375 CFM;;2900000;Material
;Propeller Fan, 500 CFM;;3500000;Material
;Propeller Fan, 600 CFM;;3900000;Material
;Propeller Fan, 1200 CFM;;4500000;Material
;Intake Grille 600 x 300 mm;;95000;Material
;Intake Grille 650 x 350 mm;;115000;Material
;Intake Grille 800 x 350 mm;;130000;Material
;Intake Grille 800 x 400 mm;;145000;Material
; Intake Louvre 700 x 400 mm;;135000;Material
; Fan Louvre 750 x 400 mm;;150000;Material
; Fan Louvre 900 x 500 mm;;220000;Material
; Fan Louvre 1.000 x 400 mm;;250000;Material
; Fan Louvre 1.000 x 450 mm;;270000;Material
;Exhaust Grille 150 x 150 mm;;140000;Material
;Exhaust Grille 200 x 200 mm;;160000;Material
;Exhaust Grille 600 x 300 mm;;200000;Material
;Exhaust Grille 650 x 350 mm;;230000;Material
;Exhaust Grille 900 x 400 mm;;300000;Material
;Exhaust Louvre;;450000;Material
;ZINK BJLS ;;222000;Material
;Flinkote ;lot ;56500;Material
;finish Cat ;lot ;92000;Material
;Hanger + Support;lolt ;55000;Material
;;;;Material
MATERIAL SISTEM PEMBUMIAN ;;;;Material
;Bak Kontrol Pemeriksaan dari Batu Bata 45 x 45 x 45 cm + Tutup Beton 45 x 45 x 10 cm;buah ;829900;Material
;Terminal Busbar 300 x 50 x 5 mm;buah;135000;Material
;Batang Tembaga Pembumian Dia.5/8” (kedalaman min. 12 m);batang;1135000;Material
;Pantek (kedalaman min. 12 m);lot;245000;Material
;Kabel BC 95 mm2;m;145000;Material
;Kabel Skun 95 mm2;m;26400;Material
;Rod Coupling;buah;130000;Material
;Material Bantu;lot;50000;Material
;Batang Tembaga Pembumian Dia.3/4” (kedalaman min. 12 m);batang;1666000;Material
;Air Terminal ;unit;1634000;Material
;Base Air Terminal ;unit ;587600;Material
;DC Clip Non Metalic Clamp ;unit;13500;Material
;Square Tape Clamp;unit;55000;Material
;Bimetallic Connector ;unit ;35000;Material
;Grounding Test Box;unit;492000;Material
;"5/8"" Rod Coupling ";unit ;45000;Material
;"5/8"" Driving Stud ";unit;83000;Material
;Rod to Cable Clamp (Type GUV);unit ;252900;Material
;Polymer Inspection Pit;unit;530000;Material
;Coupling Bonding Grounded Rod 70 mm2;unit ;2040000;Material
;Clamp BC L ukuran BC 70 mm2;unit ;25500;Material
;"Clamp PVC 1""";unit ;1500;Material
;Copper Air Terminal Base 15 mm ;;189000;Material
;15x500 mm Aluminium Air Rod ;;160000;Material
;15x500 mm Copper Air Rod ;;582000;Material
;25x3 mm Bare Aluminium Tape;m';58620;Material
;"5/8"" x 1800 mm Extensible Copperbond Rod ";buah ;496000;Material
;"5/8"" Copperbond Rod ";buah ;185000;Material
;"Grounding Rod Gip 1"" Panjang 1 m ";buah;142500;Material
;"Grounding Rod Gip 1"" Panjang 2 m ";buah;285000;Material
;Exothermic Welding;buah ;185000;Material
;Surge Arrester 1 Phase (15 KA);unit ;690000;Material
;Surge Arrester 3 Phase (15 KA);unit ;962000;Material
MATERIAL LAIN-LAIN;;;;Material
;Air;liter;200;Material
;Banner plastik 0.6x0.8 m2;m2;100000;Material
;Air (m3);m3;50000;Material
;Akrilik 4 mm;m2;179000;Material
;Alang-alang;ikat;30000;Material
;Alat  tulis;buah;68600;Material
;Aluminium foil;m2;10000;Material
;Aluminium foil double side;m2;11000;Material
;Amplas;lembar;3900;Material
;Baja ringan C75 x 0,75 mm;batang;95000;Material
;Baja ringan C75 x 0,75 mm (permeter);m;15833.33333;Material
;Baja Profil ;kg;16480;Material
;Baja ringan C75 x 0,8 mm;batang;82400;Material
;Baja ringan C75 x 1,00 mm;batang;106000;Material
;Baja ringan C75 x 1,00 mm (m);m';17667;Material
;Bata Ringan (ukuran 60x20x10 cm);m3;755000;Material
;Batu Andesit  Bakar 10x10, t=3cm;Unit;145000;Material
;Batu Andesit  Bakar 30x30, t=3cm;Unit;170000;Material
;Batu apung;kg;6100;Material
;Bollard Besi Tempa (BL1);unit;1262500;Material
;Bollard Besi Tempa (BL2);unit;1040000;Material
;"Bollard cast  iron (tinggi 1,2m ; Ø bawah 5""  ; Ø atas  4"")";buah;2626500;Material
;"Bollard stainless  steel (tinggi 1m ; Ø 4"")";buah;555600;Material
;Bubuk poles;kg;180000;Material
;Aspal;kg;1200;Material
;Coldmix  (Aspal Tambal Dingin) 25 kg;Zak;225000;Material
;Cutting sticker;m2;100000;Material
;Epoxy resin grout;kg;216700;Material
;Formica;lembar;51400;Material
;Formika;lembar;170000;Material
;Gebalan Rumput  Jenis  Lamuran;m²;10600;Material
;Glasswool tebal 8 cm;m2;29167;Material
;Guardrail;m';761200;Material
;Hebel Block (ukuran 60x20x15 cm);buah;20200;Material
;Huruf/letter timbul stainless  steel;buah;9200;Material
;Ijuk;m3;39700;Material
;Insulasi foam;m2;70000;Material
;Jaringan udara (LVTC  2x15 mm);unit;2156800;Material
;Jendela type J1;unit;2740500;Material
;Jendela type J2;unit;5481000;Material
;Joint  Sealent;kg;37300;Material
;Kapur;m3;263700;Material
;Kapur padam;kg;7000;Material
;Karung goni;m2;14500;Material
;Karung plastik;buah;3900;Material
;Kisdam (sewa sheet  pile selama 2 bulan);batang;710500;Material
;Lem Aibon;kg;42500;Material
;Lem epoxy;kg;145000;Material
;Lem kayu;kg;16400;Material
;Lem vinyl;kg;36900;Material
;Lem Karpet ;kg;75000;Material
;Lethering akrilik tinggi 100 tebal 20 cm;buah;1167200;Material
;Lethering akrilik tinggi 25 tebal 5 cm;buah;140000;Material
;Lethering akrilik tinggi 45 tebal 20 cm;buah;525200;Material
;Lethering akrilik tinggi 70 tebal 20 cm;buah;817000;Material
;Lis  profil beton (50 cm);buah;8000;Material
;Mortar Acian Bata Ringan;zak;99600;Material
;Mortar Perekat  Bata Ringan;zak;85600;Material
;Mortar Plesteran Bata Ringan;zak;82600;Material
;Mortar siap pakai;kg;1850;Material
;Mortar Skimcoat;kg;5070;Material
;Nako  per daun;buah;8700;Material
;Pasir Ottawa;Zak;515000;Material
;Pemasangan lantai tempered laminated glass  Jemabatan Kaca;Unit;107070707;Material
;Pen akrilik;buah;7000;Material
;Perekat untuk  wallpaper;kg;36800;Material
;Pintu lipat  (folding door) bahan plastik/PVC;m2;215000;Material
;Pintu type P1;unit;4689300;Material
;"Pipa screen pvc  Ø 4""";m¹;94600;Material
;"Pipa stainless  steel diameter 0,5 ""  panjang 6 m";batang;1152000;Material
;"Pipa stainless  steel diameter 0,75 ""  panjang 6 m";batang;1253500;Material
;"Pipa stainless  steel diameter 1 ""  panjang 6 m";batang;1598600;Material
;"Pipa stainless  steel diameter 1,5 ""  panjang 6 m";batang;1877700;Material
;"Pipa stainless  steel diameter 2 ""  panjang 6 m";batang;2461300;Material
;"Pipa stainless  steel diameter 2,5 ""  panjang 6 m";batang;3045000;Material
;"Pipa stainless  steel diameter 3 ""  panjang 6 m";batang;4403200;Material
;Plastik aerator;buah;15900;Material
;Prasasti marmer 20x20;Unit;120000;Material
;Ramset;buah;3200;Material
;Recorder paper;set;174100;Material
;Rel pintu dorong;buah;243700;Material
;Reng baja ringan;batang;33900;Material
;Reng baja ringan;m;6000;Material
;Roster 10 x  20 cm;buah;11300;Material
;Roster 15 x  25 cm;buah;19300;Material
;Roster 15 x  30 cm;buah;19800;Material
;Roster 20 x 20 cm;buah;13100;Material
;Roster 25 x  25 cm;buah;16500;Material
;Roster 30 x  30 cm;buah;20500;Material
;Roster/terawang;buah;21500;Material
;Rumput  sintetis  uk. 1mx1m tebal 2 cm;buah;149300;Material
;Sabun;Kg;19400;Material
;Screen low  carbon;m¹;549300;Material
;"Screen stainless  steel ø  4""";m¹;1137800;Material
;Sealant;tube;33100;Material
;Sealant;tube;33500;Material
;Sealant  kaca;kg;32100;Material
;Sealtape;buah;5700;Material
;Semen Sika;Zak;163900;Material
;Septic  tank pabrikasi 1000 liter;buah;3605000;Material
;Septic  tank pabrikasi 1200 liter;buah;5150000;Material
;Septic  tank pabrikasi 2000 liter;buah;9785000;Material
;Septic  tank pabrikasi 800 liter;buah;2629500;Material
;Sesek bambu;lembar;19100;Material
;Signage RMJ;unit;1987300;Material
;Signage Plat Baja lengkap dengan accessories;buah ;1500000;Material
;Sitting Group (cast  iron, kayu);unit;2389300;Material
;Skrup fixer;buah;1600;Material
;Soda api;kg;17900;Material
;Strorox-100;kg;40000;Material
;Tali ijuk;kg;8200;Material
;Tali Ijuk ;m';200;Material
;Terpal;m2;12000;Material
;"Tiang Bolard (Bollard cast  iron) tinggi 1,2 m; ø bawah 5""; ø atas  4""";buah;1429100;Material
;Venetions  blinds  dan vertical blinds  (tirai);m2;7400;Material
;Wallpaper;m';13500;Material
;Waterstop lebar 150 mm;m';75000;Material
;Waterstop lebar 200 mm;m';94000;Material
;Waterstop lebar 250 mm;m';136000;Material
;Wax;kg;130000;Material
;Paving Block Tebal 6 cm fc 20 Mpa;m2;70000;Material
;Pasir Filler ;m3;300000;Material
;Paving Block Tebal 6 cm fc 25 Mpa;m2;82000;Material
;Paving Block Tebal 8 cm fc 20 Mpa;m2;85000;Material
;Paving Block Tebal 8 cm fc 25 Mpa;m2;97000;Material
;Stepping Band Lebar 15 mm;m;8570;Material
;Palet Kayu uk. 120x120x10 cm ;buah ;123000;Material
;Geotextile >100 gr/m2;m2;17500;Material
;Geotextile >400 gr/m2;m2;21000;Material
;Geotextile >800 gr/m2;m2;32000;Material
;Geotekstil woven 400 gr/m2;m2;25000;Material
;Geomembran ;m2;18950;Material
;Geosynthetic Clay Liner;m2;25000;Material
;Bentonite ;kg ;25000;Material
;MATERIAL LANSEKAP ;;;Material
;Pupuk Organik ;m3;178000;Material
;Kompos ;m3;165000;Material
;Pohon Bunga Mentega di Polybag 20 Liter ;buah ;135000;Material
;"Pohon Bunga Mentega di
Polybag 25 Liter";Buah ;150000;Material
;Pohon Bunga Terompet Kuning di Polybag 20 Liter;buah ;135000;Material
;"Pohon Bunga Terompet
Kuning di Polybag 25 Liter";Buah ;150000;Material
;Pohon Bunga Terompet Kuning di Polybag 50 Liter;Buah ;200000;Material
;Pohon Bungur Sakura di Polybag 20 Liter ;buah ;150000;Material
;"Pohon Bungur
Sakura/Bungur Jepang di
Polybag 25 Liter";Buah ;175000;Material
;Pohon Bungur di Polybag 75 Liter;Buah ;350000;Material
